,Description,Quantity,Unit_Price,Country,Invoice_Date,Number_Of_Visit,Customer_Gender,Customer_Age,Rating_Of_Product
67,Candleholder Pink Hanging Heart,6.0,2.95,United Kingdom,06/09/2011 11:37,97.0,Male,40.0,3.0
68,Pink Cream Felt Craft Trinket Box,1.0,1.25,United Kingdom,04/05/2011 15:00,114.0,Male,35.0,1.0
69,White Skull Hot Water Bottle,1.0,2.08,United Kingdom,11/03/2011 13:09,105.0,Male,32.0,3.0
70,Childrens Apron Spaceboy Design,3.0,1.95,United Kingdom,11/27/2011 14:40,109.0,Male,36.0,2.0
71,Childrens Apron Apples Design,1.0,4.21,United Kingdom,12/13/2010 09:35,114.0,Male,37.0,3.0
72,French Lavender Scent Heart,1.0,1.63,United Kingdom,07/22/2011 09:20,101.0,Male,42.0,2.0
73,Plasters In Tin Circus Parade,1.0,3.29,United Kingdom,01/25/2011 10:45,110.0,Male,42.0,3.0
74,Rotating Silver Angels T-Light Hldr,3.0,2.55,United Kingdom,11/25/2011 11:41,88.0,Male,38.0,2.0
75,Sweetheart Cakestand 3 Tier,2.0,9.95,United Kingdom,07/24/2011 14:33,114.0,Male,47.0,7.0
76,Red Stripe Ceramic Drawer Knob,-12.0,1.45,Germany,09/09/2011 10:32,98.0,Male,26.0,2.0
77,Tradtional Alphabet Stamp Set,4.0,4.95,United Kingdom,12/08/2011 12:43,105.0,Male,33.0,4.0
78,Multicolour Honeycomb Paper Garland,2.0,1.63,United Kingdom,01/20/2011 18:08,103.0,Male,51.0,1.0
79,Pink/White Christmas Tree 60Cm,24.0,0.65,United Kingdom,09/16/2011 12:27,101.0,Male,46.0,1.0
80,Painted Metal Pears Assorted,8.0,1.69,United Kingdom,06/23/2011 12:13,104.0,Male,37.0,2.0
81,Home Sweet Home Metal Sign,1.0,2.95,United Kingdom,08/21/2011 16:24,94.0,Male,36.0,2.0
82,Gin + Tonic Diet Metal Sign,2.0,2.55,United Kingdom,03/07/2011 13:10,89.0,Male,34.0,2.0
83,Pink Chick Egg Warmer + Egg Cup,12.0,2.08,United Kingdom,04/06/2011 10:40,110.0,Male,38.0,1.0
84,Set Of 16 Vintage Black Cutlery,1.0,24.96,United Kingdom,05/09/2011 16:34,98.0,Male,36.0,16.0
86,Ceramic Strawberry Design Mug,1.0,2.08,United Kingdom,07/15/2011 16:27,92.0,Male,44.0,3.0
87,Small White Heart Of Wicker,3.0,1.65,United Kingdom,11/06/2011 15:20,102.0,Male,27.0,2.0
88,Set Of 4 Pistachio Lovebird Coaster,3.0,1.66,United Kingdom,01/10/2011 09:43,103.0,Male,35.0,1.0
89,Origami Rose Incense/Candle Set,24.0,0.85,United Kingdom,11/15/2011 13:48,108.0,Male,42.0,1.0
90,Box Of Vintage Alphabet Blocks,2.0,9.95,United Kingdom,03/17/2011 10:38,114.0,Male,31.0,6.0
91,Antique Silver T-Light Glass,42.0,1.25,United Kingdom,05/20/2011 14:11,101.0,Male,36.0,1.0
92,72 Sweetheart Fairy Cake Cases,24.0,2.08,United Kingdom,06/23/2011 09:38,100.0,Male,40.0,1.0
93,Natural Slate Chalkboard Large,6.0,4.95,United Kingdom,01/10/2011 12:03,119.0,Male,51.0,4.0
94,Set Of 6 Spice Tins Pantry Design,4.0,2.08,Belgium,09/28/2011 12:04,109.0,Male,37.0,3.0
95,Doormat Black Flock,1.0,7.95,United Kingdom,04/07/2011 11:30,94.0,Male,36.0,5.0
96,Area Patrolled Metal Sign,24.0,2.1,United Kingdom,10/05/2011 17:29,104.0,Male,38.0,2.0
97,Cupboard 3 Drawer Ma Campagne,1.0,14.95,United Kingdom,12/16/2010 19:04,93.0,Male,36.0,10.0
98,Tea Party Birthday Card,12.0,0.42,United Kingdom,07/28/2011 08:55,85.0,Male,36.0,2.0
99,Bath Building Block Word,3.0,6.25,United Kingdom,11/02/2011 14:58,100.0,Male,31.0,4.0
100,Jumbo Bag Strawberry,1.0,2.08,United Kingdom,06/14/2011 11:36,107.0,Male,40.0,2.0
101,Gingham Heart  Doorstop Red,3.0,8.29,United Kingdom,06/10/2011 13:23,82.0,Male,35.0,6.0
102,Frying Pan Pink Polkadot,4.0,4.25,United Kingdom,07/19/2011 11:47,85.0,Male,33.0,3.0
103,Magnets Pack Of 4 Vintage Collage,2.0,0.39,United Kingdom,07/13/2011 11:44,90.0,Male,33.0,2.0
104,Vintage Paisley Stationery Set,4.0,2.08,United Kingdom,01/12/2011 09:26,104.0,Male,36.0,2.0
105,Jumbo Bag Apples,1.0,4.13,United Kingdom,09/07/2011 12:04,91.0,Male,33.0,3.0
106,Mirrored Disco Ball,1.0,5.95,United Kingdom,11/14/2011 12:18,116.0,Male,30.0,4.0
107,Sunflower Decorative Parasol,1.0,8.47,United Kingdom,01/05/2011 11:30,99.0,Male,36.0,6.0
108,Love Building Block Word,2.0,6.25,United Kingdom,11/28/2011 14:06,95.0,Male,33.0,4.0
109,Wood Stamp Set Thank You,7.0,2.08,United Kingdom,01/19/2011 15:08,82.0,Male,37.0,2.0
110,6 Egg House Painted Wood,4.0,7.95,United Kingdom,05/05/2011 08:18,86.0,Male,33.0,5.0
111,Doormat I Love London,1.0,15.79,United Kingdom,11/23/2011 13:39,94.0,Male,33.0,10.0
112,Vintage Union Jack Bunting,3.0,8.5,United Kingdom,10/07/2011 14:05,90.0,Male,31.0,6.0
113,Skulls  Water Transfer Tattoos,3.0,0.85,United Kingdom,07/01/2011 12:33,101.0,Male,22.0,1.0
114,Pink Floral Feltcraft Shoulder Bag,1.0,7.46,United Kingdom,08/09/2011 17:37,86.0,Male,41.0,2.0
115,Jumbo Bag Red Retrospot,3.0,4.13,United Kingdom,11/08/2011 18:41,82.0,Male,33.0,3.0
116,Scandinavian Reds Ribbons,12.0,2.08,United Kingdom,05/03/2011 13:22,114.0,Male,45.0,1.0
117,Mini Jigsaw Bake A Cake,6.0,0.42,United Kingdom,11/27/2011 11:57,95.0,Male,22.0,1.0
118,Watering Can Green Dinosaur,1.0,4.21,United Kingdom,12/20/2010 15:03,103.0,Male,45.0,3.0
119,Please One Person Metal Sign,1.0,2.1,United Kingdom,05/11/2011 14:37,88.0,Male,36.0,2.0
120,4 Traditional Spinning Tops,1.0,1.25,United Kingdom,02/09/2011 15:33,109.0,Male,35.0,1.0
121,Adjustment,41.0,0.0,United Kingdom,04/27/2011 11:48,92.0,Male,23.0,2.0
122,Set/6 Red Spotty Paper Plates,10.0,0.83,United Kingdom,03/29/2011 15:20,106.0,Male,40.0,1.0
124,Retrospot Tea Set Ceramic 11 Pc,3.0,4.95,United Kingdom,05/24/2011 11:55,92.0,Male,43.0,4.0
125,Rabbit Night Light,2.0,2.08,United Kingdom,08/01/2011 16:07,106.0,Male,31.0,3.0
126,Jingle Bell Heart Decoration,1.0,1.65,United Kingdom,09/21/2011 15:54,109.0,Male,42.0,2.0
127,Lunch Bag Suki Design,3.0,1.65,United Kingdom,06/27/2011 14:30,99.0,Male,34.0,2.0
128,Classic Metal Birdcage Plant Holder,1.0,12.75,United Kingdom,10/30/2011 11:22,96.0,Male,36.0,8.0
129,Jumbo Bag Spaceboy Design,10.0,2.08,United Kingdom,05/09/2011 14:10,96.0,Male,42.0,2.0
130,Lunch Bag Doiley Pattern,10.0,2.08,United Kingdom,05/19/2011 10:38,92.0,Male,44.0,2.0
131,If You Can'T Stand The Heat Mug,1.0,1.25,United Kingdom,09/04/2011 16:12,101.0,Male,32.0,1.0
132,Postage,3.0,15.0,Belgium,08/25/2011 13:33,117.0,Male,41.0,2.0
133,Petit Tray Chic,5.0,1.65,United Kingdom,07/31/2011 12:02,121.0,Male,32.0,2.0
134,Lunch Bag Pink Polkadot,10.0,1.65,United Kingdom,11/18/2011 13:02,88.0,Male,35.0,2.0
135,Red Vintage Spot Beaker,4.0,0.85,United Kingdom,06/23/2011 19:20,96.0,Male,38.0,1.0
136,Picnic Basket Wicker Small,4.0,5.95,United Kingdom,01/28/2011 10:28,109.0,Male,28.0,4.0
137,Doughnut Lip Gloss,20.0,1.25,United Kingdom,08/24/2011 14:53,109.0,Male,38.0,2.0
138,Antique All Glass Candlestick,3.0,2.46,United Kingdom,04/18/2011 15:26,90.0,Male,51.0,2.0
139,Blue Polkadot Cup,8.0,0.85,United Kingdom,06/01/2011 15:47,101.0,Male,36.0,1.0
140,Red Hanging Heart T-Light Holder,2.0,2.95,United Kingdom,10/12/2011 12:47,95.0,Male,36.0,2.0
141,Glass Sphere Candle Stand Medium,-1.0,4.95,United Kingdom,09/16/2011 09:52,93.0,Male,43.0,4.0
142,Doormat Black Flock,2.0,8.25,United Kingdom,10/17/2011 12:16,101.0,Male,41.0,6.0
143,"Record Frame 7"" Single Size",1.0,2.55,United Kingdom,03/21/2011 13:38,101.0,Male,40.0,2.0
144,Large Cake Towel Chocolate Spots,12.0,1.95,United Kingdom,12/07/2011 08:45,93.0,Male,47.0,2.0
145,Jumbo Bag Apples,4.0,2.08,United Kingdom,07/26/2011 14:24,101.0,Male,42.0,2.0
146,Wooden Rounders Garden Set,2.0,9.95,United Kingdom,03/22/2011 12:15,112.0,Male,36.0,6.0
147,Jam Jar With Green Lid,1.0,1.63,United Kingdom,07/18/2011 15:49,114.0,Male,30.0,2.0
148,Magnets Pack Of 4 Childhood Memory,7.0,1.25,France,10/03/2011 13:46,110.0,Male,36.0,1.0
149,Glass Heart T-Light Holder,2.0,1.63,United Kingdom,09/15/2011 16:32,101.0,Male,33.0,2.0
150,Gumball Coat Rack,6.0,2.55,United Kingdom,03/28/2011 15:27,93.0,Male,38.0,2.0
151,Baking Set 9 Piece Retrospot,3.0,4.95,Hong Kong,05/13/2011 14:09,104.0,Male,34.0,2.0
152,"Elephant, Birthday Card,",12.0,0.42,United Kingdom,07/06/2011 13:13,104.0,Male,34.0,1.0
153,Feltcraft Princess Charlotte Doll,4.0,3.75,France,12/07/2010 10:36,105.0,Male,38.0,2.0
154,Red Retrospot Small Milk Jug,1.0,2.55,United Kingdom,03/08/2011 15:13,101.0,Male,38.0,2.0
155,Pink Regency Teacup And Saucer,-1.0,2.95,United Kingdom,09/09/2011 12:00,107.0,Male,36.0,2.0
156,Glass Bon Bon Jar,24.0,1.65,United Kingdom,10/18/2011 12:17,83.0,Female,40.0,1.0
157,Alarm Clock Bakelike Ivory,2.0,7.46,United Kingdom,08/08/2011 15:34,101.0,Female,38.0,5.0
158,Red Heart Luggage Tag,3.0,0.83,United Kingdom,07/12/2011 16:20,99.0,Female,35.0,2.0
160,Vintage Snakes & Ladders,4.0,7.46,United Kingdom,04/15/2011 13:15,90.0,Female,27.0,5.0
161,Woodland Charlotte Bag,10.0,0.85,United Kingdom,05/11/2011 13:18,87.0,Female,37.0,1.0
162,Vintage Doily Travel Sewing Kit,1.0,1.95,United Kingdom,11/27/2011 13:41,100.0,Female,30.0,2.0
163,Jumbo Bag Vintage Doily,10.0,2.08,United Kingdom,08/11/2011 15:43,101.0,Female,34.0,2.0
164,Silk Purse Babushka Pink,6.0,3.35,Switzerland,01/28/2011 15:45,101.0,Female,34.0,3.0
165,Set Of 3 Cake Tins Pantry Design,1.0,2.08,United Kingdom,04/15/2011 10:41,115.0,Female,31.0,7.0
166,Paper Chain Kit 50'S Christmas,40.0,2.55,United Kingdom,09/15/2011 15:21,95.0,Female,36.0,2.0
167,Set/10 Pink Polkadot Party Candles,4.0,1.25,United Kingdom,05/19/2011 14:05,101.0,Female,37.0,1.0
169,Dairy Maid Traditional Teapot,1.0,6.95,United Kingdom,06/02/2011 11:13,98.0,Female,36.0,5.0
170,Easter Craft 4 Chicks,1.0,1.95,United Kingdom,03/23/2011 12:24,98.0,Female,43.0,2.0
171,Round Cake Tin Vintage Red,2.0,7.95,United Kingdom,11/13/2011 10:35,106.0,Female,34.0,5.0
172,Pink Cream Felt Craft Trinket Box,3.0,1.25,United Kingdom,12/03/2010 14:26,91.0,Female,29.0,1.0
173,Holiday Fun Ludo,1.0,7.46,United Kingdom,10/31/2011 14:41,101.0,Female,41.0,5.0
174,Dolly Girl Childrens Cup,3.0,1.25,United Kingdom,11/22/2011 15:41,98.0,Female,31.0,1.0
175,Vintage Keepsake Box Pink Flower,1.0,6.35,United Kingdom,11/14/2011 14:39,101.0,Female,37.0,4.0
176,French Enamel Candleholder,2.0,2.08,United Kingdom,11/11/2011 09:05,107.0,Female,40.0,3.0
177,Lantern Cream Gazebo,1.0,4.95,United Kingdom,03/13/2011 13:46,113.0,Female,31.0,2.0
178,Party Pizza Dish Pink Polkadot,24.0,0.21,United Kingdom,01/09/2011 10:43,98.0,Female,36.0,1.0
179,Painted Lightbulb Star+ Moon,4.0,0.42,United Kingdom,08/28/2011 12:31,101.0,Female,37.0,1.0
180,Set 2 Pantry Design Tea Towels,2.0,3.25,United Kingdom,10/20/2011 12:43,102.0,Female,42.0,3.0
181,Ceramic Cake Stand + Hanging Cakes,3.0,8.5,United Kingdom,12/16/2010 15:02,101.0,Female,31.0,6.0
182,Homemade Jam Scented Candles,12.0,1.45,United Kingdom,04/13/2011 11:40,101.0,Female,33.0,1.0
183,Christmas Gingham Star,2.0,1.66,United Kingdom,12/06/2010 09:58,101.0,Female,33.0,2.0
184,Small Heart Flowers Hook,1.0,1.63,United Kingdom,03/17/2011 18:18,103.0,Female,42.0,1.0
185,Kings Choice Tea Caddy,12.0,2.95,Switzerland,11/06/2011 16:07,90.0,Female,43.0,2.0
186,Travel Sewing Kit,1.0,3.36,United Kingdom,01/04/2011 13:25,88.0,Female,29.0,3.0
187,Pink/Blue String Curtain,1.0,1.95,United Kingdom,10/24/2011 14:36,106.0,Female,36.0,2.0
188,4 Pear Botanical Dinner Candles,12.0,1.25,United Kingdom,01/09/2011 10:43,102.0,Female,36.0,1.0
189,Traditional Knitting Nancy,19.0,3.29,United Kingdom,10/31/2011 14:41,98.0,Female,33.0,3.0
191,Pink & White Breakfast Tray,2.0,4.21,United Kingdom,01/11/2011 13:16,94.0,Female,30.0,3.0
192,Deluxe Sewing Kit,1.0,5.95,United Kingdom,12/05/2011 16:04,101.0,Female,42.0,4.0
193,Dinosaurs  Writing Set,2.0,1.65,United Kingdom,10/10/2011 13:04,86.0,Female,31.0,2.0
194,Childrens Toy Cooking Utensil Set,1.0,2.08,United Kingdom,10/31/2011 13:05,100.0,Female,44.0,2.0
195,Picnic Basket Wicker Small,1.0,5.95,United Kingdom,02/22/2011 15:00,108.0,Female,41.0,4.0
196,White Hanging Heart T-Light Holder,2.0,2.95,United Kingdom,11/10/2011 11:55,94.0,Female,36.0,2.0
197,Magnets Pack Of 4 Vintage Labels,1.0,2.46,United Kingdom,04/21/2011 18:10,99.0,Female,43.0,2.0
198,Wooden School Colouring Set,12.0,1.65,United Kingdom,03/08/2011 09:24,99.0,Female,34.0,1.0
199,Wicker Star,3.0,3.29,United Kingdom,01/11/2011 14:42,96.0,Female,47.0,2.0
200,Set Of 3 Cake Tins Pantry Design,2.0,4.95,United Kingdom,01/17/2011 12:31,108.0,Female,27.0,3.0
201,Feltcraft Hairband Red And Blue,3.0,1.63,United Kingdom,09/07/2011 16:48,103.0,Female,25.0,2.0
202,Small Dolly Mix Design Orange Bowl,1.0,0.83,United Kingdom,11/18/2011 15:59,109.0,Female,37.0,1.0
203,Lunch Bag Cars Blue,10.0,1.65,United Kingdom,06/10/2011 11:44,109.0,Female,35.0,2.0
204,Hanging Heart Jar T-Light Holder,36.0,1.06,Eire,10/20/2011 09:28,107.0,Female,23.0,1.0
206,Pink Heart Shape Egg Frying Pan,1.0,4.13,United Kingdom,10/10/2011 16:02,101.0,Female,35.0,3.0
207,Make Your Own Flowerpower Card Kit,2.0,0.79,United Kingdom,12/05/2011 12:30,103.0,Female,38.0,1.0
208,Drawer Knob Crackle Glaze Ivory,6.0,1.65,United Kingdom,08/22/2011 14:38,108.0,Female,31.0,2.0
209,Pack 6 Heart/Ice-Cream Patches,1.0,2.51,United Kingdom,12/07/2010 15:28,109.0,Female,42.0,2.0
210,Silver Hanging T-Light Holder,24.0,1.65,United Kingdom,12/07/2010 11:30,77.0,Female,33.0,2.0
211,"Rustic Wooden Cabinet, Glass Doors",2.0,49.96,United Kingdom,01/25/2011 10:45,113.0,Female,31.0,2.0
212,Alphabet Stencil Craft,12.0,1.25,United Kingdom,07/27/2011 10:52,99.0,Female,36.0,2.0
213,Magnets Pack Of 4 Swallows,12.0,0.39,United Kingdom,12/07/2011 14:43,99.0,Female,36.0,1.0
215,Jumbo Bag Toys,10.0,2.08,United Kingdom,10/25/2011 15:36,86.0,Female,41.0,2.0
216,Gin + Tonic Diet Metal Sign,1.0,2.55,United Kingdom,11/02/2011 13:50,101.0,Female,47.0,2.0
217,Childrens Garden Gloves Blue,3.0,1.25,United Kingdom,01/18/2011 13:05,108.0,Female,49.0,1.0
218,Crochet Rose Purse With Suede Back,6.0,2.95,United Kingdom,11/30/2011 14:41,123.0,Female,35.0,2.0
219,Ocean Scent Candle In Jewelled Box,1.0,4.25,United Kingdom,03/04/2011 13:14,119.0,Female,42.0,2.0
220,Wrap Christmas Village,25.0,2.08,United Kingdom,07/28/2011 15:31,113.0,Female,41.0,1.0
221,Christmas Gingham Star,12.0,2.08,United Kingdom,10/04/2011 10:42,82.0,Female,30.0,1.0
222,Frappucino Scarf Knitting Kit,1.0,2.95,United Kingdom,12/05/2010 14:06,80.0,Female,44.0,2.0
223,Spaceboy Birthday Card,24.0,0.42,United Kingdom,03/31/2011 13:43,108.0,Female,29.0,2.0
224,Christmas Lights 10 Reindeer,-1.0,8.5,Eire,11/18/2011 16:58,113.0,Female,36.0,6.0
225,Rotating Silver Angels T-Light Hldr,4.0,2.55,United Kingdom,10/18/2011 14:11,105.0,Female,39.0,2.0
226,Traditional Knitting Nancy,12.0,1.45,United Kingdom,03/17/2011 16:10,92.0,Female,36.0,1.0
227,Red Retrospot Cup,12.0,0.85,United Kingdom,02/09/2011 11:38,86.0,Female,40.0,1.0
228,Assorted Colour Bird Ornament,16.0,1.69,United Kingdom,05/05/2011 15:31,87.0,Female,35.0,2.0
229,White Spot Blue Ceramic Drawer Knob,4.0,3.29,United Kingdom,03/22/2011 09:27,80.0,Female,42.0,3.0
230,Large Cake Stand  Hanging Strawbery,12.0,8.5,Switzerland,11/06/2011 16:07,115.0,Female,36.0,6.0
231,Green Vintage Earrings,1.0,4.24,United Kingdom,12/07/2010 15:28,101.0,Female,36.0,3.0
232,Glitter Hanging Butterfly String,12.0,2.1,United Kingdom,12/13/2010 12:10,101.0,Female,47.0,2.0
233,12 Pencils Tall Tube Skulls,1.0,0.85,United Kingdom,11/16/2011 12:25,101.0,Female,36.0,1.0
234,Dinosaur Keyrings Assorted,4.0,0.42,United Kingdom,05/25/2011 17:06,95.0,Female,44.0,1.0
235,Funky Washing Up Gloves Assorted,3.0,2.1,United Kingdom,11/15/2011 14:47,90.0,Female,39.0,2.0
236,Doormat Keep Calm And Come In,2.0,7.95,United Kingdom,07/07/2011 13:43,82.0,Female,39.0,2.0
237,Wooden Happy Birthday Garland,1.0,5.79,United Kingdom,08/08/2011 15:42,72.0,Female,39.0,4.0
238,Daisy Sketchbook,2.0,3.75,United Kingdom,07/07/2011 19:54,99.0,Female,34.0,3.0
239,Spaceboy Lunch Box,12.0,1.95,United Kingdom,11/25/2011 10:58,96.0,Female,36.0,2.0
240,Biscuit Tin 50'S Christmas,6.0,2.89,Spain,11/21/2011 09:11,99.0,Female,36.0,2.0
241,Family Album White Picture Frame,1.0,16.63,United Kingdom,07/04/2011 10:23,104.0,Female,34.0,11.0
242,Antique Silver Tea Glass Etched,12.0,1.25,United Kingdom,02/02/2011 12:54,101.0,Female,44.0,1.0
243,Rabbit Night Light,1.0,2.08,United Kingdom,11/13/2011 14:20,103.0,Female,31.0,2.0
244,Set Of 4 Rose Botanical Candles,5.0,1.25,United Kingdom,11/13/2011 15:58,87.0,Female,32.0,1.0
245,Doctor'S Bag Soft Toy,1.0,2.08,United Kingdom,05/09/2011 15:48,87.0,Female,36.0,6.0
246,French Blue Metal Door Sign 9,10.0,1.25,Eire,02/14/2011 09:45,103.0,Female,33.0,1.0
248,Ladies & Gentlemen Metal Sign,3.0,2.55,United Kingdom,11/23/2011 12:33,91.0,Female,36.0,2.0
